TIME,GLOBAL,POLAR (N),POLAR (S),MID-LATITUDES (N),MID-LATITUDES (S),HIGH-LATITUDES (N),HIGH-LATITUDES (S),TROPICS
1981-10-14,-0.13238616,-0.009775431,0.000595778,-0.018729737,-0.06096886,0.006449332,-0.0039777127,-0.04597954
1981-10-15,-0.13923943,-0.008718084,0.0005660747,-0.021010581,-0.06673079,0.0067152246,-0.005829657,-0.04423164
1981-10-16,-0.15115273,-0.007507096,0.0005276631,-0.02629165,-0.077418424,0.007611504,-0.0065196357,-0.04155509
1981-10-17,-0.14923364,-0.007540984,0.0004641741,-0.025149459,-0.08903953,0.008409465,-0.0054940884,-0.030883273
1981-10-18,-0.15602642,-0.007910718,0.0004744895,-0.02365432,-0.10435245,0.009336725,-0.0036357697,-0.02628436
1981-10-19,-0.16968349,-0.008365939,0.00039019118,-0.023155876,-0.11371397,0.00914328,-0.003293575,-0.03068759
1981-10-20,-0.16838136,-0.009105295,0.00031403053,-0.020927416,-0.114806056,0.009421861,-0.003202207,-0.030076241
1981-10-21,-0.15434894,-0.009560297,0.00020413447,-0.021293983,-0.110499136,0.0068601216,-0.0035348053,-0.016524993
1981-10-22,-0.15400334,-0.008968518,0.00012899807,-0.023570975,-0.114040755,0.0041429168,-0.0038260878,-0.007868916
1981-10-23,-0.1682056,-0.008937582,7.861544e-05,-0.029868351,-0.11402762,0.0036107395,-0.0045402134,-0.014521196
1981-10-24,-0.17801096,-0.008444135,1.7063558e-05,-0.030021658,-0.117775984,0.003705075,-0.0053218096,-0.020169495
1981-10-25,-0.17831324,-0.0078135645,5.4313964e-06,-0.0256998,-0.1130351,0.0021711653,-0.0048413817,-0.029099949
1981-10-26,-0.19209275,-0.007740081,-3.6677284e-05,-0.023036126,-0.119898915,0.0010943275,-0.004956545,-0.037518658
1981-10-27,-0.22066455,-0.0071855118,-4.635642e-05,-0.024218997,-0.13750617,0.00023116636,-0.005536992,-0.0464017
1981-10-28,-0.24747354,-0.007012037,-0.000102073354,-0.027982885,-0.14650597,-0.0019555131,-0.0056502437,-0.058264952
1981-10-29,-0.2600127,-0.006951542,-0.00018188724,-0.031295832,-0.14581585,-0.0036451742,-0.0052992622,-0.06682312
1981-10-30,-0.27071384,-0.007476977,-0.00022356905,-0.033361293,-0.147577,-0.0051892796,-0.0062211943,-0.07066459
1981-10-31,-0.28103605,-0.0073561715,-0.0002687876,-0.035356555,-0.14925401,-0.0057574585,-0.006555867,-0.07648711
1981-11-01,-0.285908,-0.0071864743,-0.00033047504,-0.03606825,-0.14562346,-0.0049784523,-0.0076162703,-0.08410449
1981-11-02,-0.30268306,-0.007369893,-0.00042934826,-0.03430097,-0.1456825,-0.0049642837,-0.011029159,-0.09890684
1981-11-03,-0.31383008,-0.007347614,-0.0005016909,-0.030106679,-0.14794183,-0.005750077,-0.013497595,-0.10868472
1981-11-04,-0.3110622,-0.006598557,-0.00058756635,-0.029092664,-0.1468841,-0.0059774467,-0.01466958,-0.107252255
1981-11-05,-0.30037653,-0.006914493,-0.00069637096,-0.027737636,-0.14179549,-0.005809407,-0.014466648,-0.102956414
1981-11-06,-0.28330675,-0.0072182063,-0.00075116317,-0.027232477,-0.13533458,-0.00595712,-0.009907912,-0.09690522
1981-11-07,-0.26455995,-0.0067761913,-0.0008339037,-0.028040051,-0.12099197,-0.0057892012,-0.009353562,-0.09277515
1981-11-08,-0.2562834,-0.0065369364,-0.0008905623,-0.027997863,-0.11763659,-0.0037544314,-0.010360242,-0.08910678
1981-11-09,-0.26045692,-0.0054813162,-0.0009595096,-0.030105883,-0.11720735,-0.005267955,-0.010827378,-0.090607524
1981-11-10,-0.25434634,-0.0052453754,-0.0009923745,-0.030211598,-0.10929793,-0.0053138603,-0.009357045,-0.09392819
1981-11-11,-0.24188899,-0.004360574,-0.0009992195,-0.028344505,-0.10104986,-0.0041593513,-0.00913411,-0.09384141
1981-11-12,-0.2411717,-0.004226769,-0.001059942,-0.02955758,-0.10298015,-0.0036057949,-0.010056974,-0.08968448
1981-11-13,-0.24436192,-0.0040970626,-0.001181122,-0.03384636,-0.10734365,-0.0034151843,-0.01104439,-0.083434194
1981-11-14,-0.23419863,-0.003287092,-0.0012961678,-0.036662757,-0.10291965,-0.0027454125,-0.011770839,-0.07551673
1981-11-15,-0.23086888,-0.0024441876,-0.001374749,-0.036851358,-0.09848414,-0.0016549958,-0.013116997,-0.07694242
1981-11-16,-0.2392161,-0.0013922727,-0.001446108,-0.03988252,-0.10193296,-0.00064587453,-0.01507432,-0.078841984
1981-11-17,-0.2536037,-0.001725095,-0.0016586303,-0.039354593,-0.11097087,-0.0013975219,-0.016500639,-0.081996344
1981-11-18,-0.25140762,-0.002352565,-0.0017181798,-0.038886532,-0.113257445,-0.0018235303,-0.016975664,-0.076393634
1981-11-19,-0.23659194,-0.0027185667,-0.001783338,-0.038550798,-0.106924355,-0.0025520928,-0.015836017,-0.06822672
1981-11-20,-0.22370449,-0.002834273,-0.002052225,-0.03729312,-0.104609646,-0.0037813082,-0.014605673,-0.05852825
1981-11-21,-0.21961117,-0.0035259796,-0.0021443511,-0.036444407,-0.106412545,-0.0036073276,-0.01571672,-0.051759835
1981-11-22,-0.21720582,-0.0043664887,-0.0023231248,-0.0361425,-0.10751102,-0.0030582151,-0.015452672,-0.048351813
1981-11-23,-0.22720404,-0.0047260365,-0.0024736738,-0.04425265,-0.10204068,-0.0033208847,-0.017969813,-0.052420367
1981-11-24,-0.19960359,-0.0044485964,-0.0026565292,-0.048024435,-0.074246325,-0.0038084972,-0.016737161,-0.049682066
1981-11-25,-0.18643793,-0.004076698,-0.002962264,-0.04959523,-0.062428996,-0.0034613167,-0.014410952,-0.04950248
1981-11-26,-0.1792256,-0.0043275403,-0.0031893887,-0.047899686,-0.054764707,-0.0036396962,-0.011614805,-0.0537898
1981-11-27,-0.18562596,-0.00421499,-0.0033248235,-0.045009736,-0.058353405,-0.0034888175,-0.010959794,-0.060274433
1981-11-28,-0.19236018,-0.004031604,-0.0032928765,-0.04201598,-0.06499498,-0.0027648457,-0.0122681605,-0.06299167
1981-11-29,-0.20270279,-0.004009487,-0.0035847726,-0.04176574,-0.068731226,-0.0046802834,-0.01484381,-0.065087445
1981-11-30,-0.19808087,-0.004230165,-0.0037484881,-0.03916062,-0.07147992,-0.005957877,-0.020312557,-0.053191304
1981-12-01,-0.18452983,-0.0049466477,-0.003802383,-0.03884841,-0.074591376,-0.006898436,-0.02212815,-0.033314455
1981-12-02,-0.18004432,-0.0050352262,-0.003906727,-0.04326607,-0.07676159,-0.008144195,-0.021596307,-0.021334281
1981-12-03,-0.19597171,-0.005060437,-0.004043212,-0.04580337,-0.07848971,-0.009117381,-0.021771139,-0.031686455
1981-12-04,-0.20372178,-0.0058491416,-0.004243784,-0.044887133,-0.0793338,-0.008766434,-0.020974087,-0.039667483
1981-12-05,-0.19515577,-0.005645887,-0.0043420913,-0.045079295,-0.064308695,-0.008822146,-0.020601721,-0.04635591
1981-12-06,-0.18665044,-0.005273403,-0.004112813,-0.043973837,-0.0548794,-0.007827377,-0.018500634,-0.052082967
1981-12-07,-0.18735248,-0.0052710427,-0.0039368398,-0.041904163,-0.04151326,-0.0064407415,-0.02016369,-0.06812267
1981-12-08,-0.17551033,-0.005472035,-0.0036451693,-0.03971614,-0.026209455,-0.0055164266,-0.019750757,-0.07520036
