TIME,GLOBAL,POLAR (N),POLAR (S),MID-LATITUDES (N),MID-LATITUDES (S),HIGH-LATITUDES (N),HIGH-LATITUDES (S),TROPICS
1981-01-01,-0.008900153034975647,-0.07447590003010028,-0.027531414715246266,0.07277940007988504,0.027068104243561982,0.08457385793529439,0.002869813329356698,-0.09119228022602704
1981-01-02,-0.04263669444743882,-0.05542999542185324,-0.036093887114118824,0.00198823248243107,0.05277694916139027,0.11313681226215937,0.0036104135486016305,-0.1202525334620046
1981-01-03,-0.06913217789639672,-0.029442966417880682,-0.03954644112173688,-0.06156547283317194,0.052600659227371636,0.13650130775075375,0.004113678931761825,-0.12908256634480086
1981-01-04,-0.01429871822827663,-0.03702834871840394,-0.03903949383565506,-0.07323338063809753,0.05948715875050094,0.19929344553619358,0.0075340131045718555,-0.12647347587300417
1981-01-05,0.014258267531002997,-0.03907219946569738,-0.036874686255607594,-0.05302332119909613,0.0580488101252767,0.20696567520277898,0.009890966609899366,-0.1263685542160561
1981-01-06,0.029650463638202045,-0.012682745868885383,-0.03727850612977329,-0.03783794221334214,0.04289218961743178,0.191962430868454,0.005788570804185915,-0.11729924950291748
1981-01-07,-0.00459066168938159,0.015595577689031234,-0.043310763512551385,-0.0871231934771721,0.03954687185069422,0.19072716607939683,0.00312786772181729,-0.11800510777122095
1981-01-08,-0.05039068308817092,0.030139142390905257,-0.052718524427797946,-0.13405571129852747,0.020245302937120443,0.20267624606029253,0.00037002395397807034,-0.11161564824691174
1981-01-09,-0.0629958716300027,0.0663844758553916,-0.04763896362850792,-0.18207783557082655,0.004905768285618062,0.20545225940491352,-0.0006416695712323771,-0.10528226112610996
1981-01-10,-0.07558960086987557,0.10925240644902914,-0.04620636097816951,-0.1716072818991293,0.005552313442309365,0.1738389364679547,-0.0029383077483634665,-0.14028661939755105
1981-01-11,-0.10463439870179153,0.11139093572450824,-0.057826860574910016,-0.16378513492794405,0.011712486288266155,0.16617368639768046,-0.002061382686048215,-0.16689091144066961
1981-01-12,-0.09565325601784928,0.11281693496382596,-0.06902526895351191,-0.1600381068398274,0.009486568713776988,0.18274824301319756,-0.0011621521807868957,-0.16688566732979826
1981-01-13,-0.05527694458831433,0.10567953588987154,-0.06395849815804583,-0.07532566893501323,0.006192316159504253,0.13092681657183938,0.004679193560685953,-0.1608346441145213
1981-01-14,-0.029472677337711972,0.09977027468723003,-0.05425963547039648,-0.012037495014590562,-0.011465126049180296,0.08996098800290422,0.005340403030200461,-0.14457788791622303
1981-01-15,0.00025422994092389546,0.10596822316119675,-0.04504036964452783,-0.018217055863876175,-0.019860566814982692,0.09794256809572685,0.003953975459658772,-0.12192646813524984
1981-01-16,0.050703405924005206,0.1362752149796471,-0.04000782883475338,-0.0357695369658235,0.003246071859779824,0.12483056973230616,0.005807987139786062,-0.14105245275863812
1981-01-17,0.056698908525495084,0.15464184271273768,-0.01926432626358909,-0.05534549002330732,0.0015276744318736912,0.12473258780572155,0.003329263393490328,-0.14978662699345868
1981-01-18,0.07616293800717167,0.15744088439827733,0.0061709366007794975,-0.025677804946806528,-0.009566588498397935,0.09044142617525094,0.005378896226548531,-0.14541164877306115
1981-01-19,0.13907296280221793,0.16407599294254963,0.00954369477327421,0.025139216975716784,-0.010967834548295323,0.0815828328576795,0.005032994539905607,-0.13187123972184966
1981-01-20,0.1907492751820698,0.17222287830064373,0.020535389082201396,0.01905124257209253,-0.003982284713888398,0.12263036743178629,0.003974650507019331,-0.13815815399369458
1981-01-21,0.1402739213761785,0.15894326524862246,0.027395865232356043,0.004780945632362844,-0.03519428760761928,0.13717743606607596,0.004179469841199289,-0.15177924399429607
1981-01-22,0.15913769815696707,0.14765013199532123,0.03140664033717161,0.01621574404226361,-0.03623309260227404,0.14172467912802453,0.006142916444288668,-0.14332966127665278
1981-01-23,0.1960897143543491,0.13203804255044274,0.03968908526823524,0.010167449671438638,-0.022042366329462805,0.16427853241327955,0.011172217281899972,-0.13495554195262593
1981-01-24,0.17955049552829508,0.11127898817227466,0.032454424850173344,-0.02101419904822511,-0.019497838472308154,0.20379506840252373,0.010817285428695776,-0.13309608686392554
1981-01-25,0.07451897461640641,0.10192317489738466,0.009024049502304551,-0.04898825434463654,-0.02291213832701751,0.18418359026597625,0.012771073907605873,-0.15614968229321216
1981-01-26,-0.007938947879059728,0.10502738941721708,0.008840376201311924,-0.07140910521322077,-0.01981875809005661,0.13211329372934552,0.013674187150617547,-0.17189309831359198
1981-01-27,-0.03750159580710864,0.11941274160099485,0.016669443772672467,-0.10251388624009641,-0.018354025667159324,0.11869385476909824,0.014102002990024964,-0.1817690664268629
1981-01-28,-0.034647678060213204,0.12033700691205469,0.01417490560446246,-0.11569752646070393,-0.03850591085750131,0.16601318772225648,0.011047615519528405,-0.18798732725387393
1981-01-29,-0.040604369103606285,0.09784481566560661,0.002608891543060304,-0.13367579497446433,-0.03428731685397116,0.20609877468439997,0.007778161124381692,-0.1822555835967618
1981-01-30,-0.025005853543345995,0.07320265497176486,-0.012432655461696418,-0.13839584900525953,-0.005539779528339105,0.21915877026734823,0.010119274896643654,-0.1648639414570772
1981-01-31,-0.01812834569065176,0.07875336707371616,-0.021648367118079107,-0.10362616897409622,0.002627319166025856,0.18896690812626998,0.014419394930061974,-0.172101386747032
1981-02-01,-0.020775229863559404,0.08202588350497692,-0.019893444663214587,-0.07499347086777927,0.01196482629546367,0.16472882597493463,0.010701523872646968,-0.1908883774458316
